,val_loss
1190,"102.4479, "
1191,"100.7571, "
1192,"106.5977, "
1193,"107.4882, "
1194,"107.6259, "
1195,"91.9180, "
1196,"114.7576, "
1197,"117.7931, "
1198,"112.5489, "
1199,"101.1118, "
1200,"108.5941, "
1201,"101.0167, "
1202,"111.0260, "
1203,"118.8346, "
1204,"119.8498, "
1205,"112.1530, "
1206,"108.5751, "
1207,"104.5925, "
1208,"129.7595, "
1209,"93.1414, "
1210,"94.6772, "
1211,"110.8724, "
1212,"107.8450, "
1213,"91.4298, "
1214,"125.4927, "
1215,"105.6398, "
1216,"91.0168, "
1217,"119.6542, "
1218,"105.3725, "
1219,"107.3286, "
1220,"108.9328, "
1221,"114.5642, "
1222,"77.5188, "
1223,"100.6274, "
1224,"103.8025, "
1225,"118.4976, "
1226,"100.7691, "
1227,"95.7799, "
1228,"126.3232, "
1229,"101.3504, "
1230,"108.4041, "
1231,"109.7970, "
1232,"102.5585, "
1233,"118.6649, "
1234,"99.3595, "
1235,"84.5985, "
1236,"108.7958, "
1237,"101.5907, "
1238,"125.0517, "
1239,"110.5576, "
1240,"94.7668, "
1241,"100.1535, "
1242,"116.7950, "
1243,"105.6053, "
1244,"101.0712, "
1245,"89.4350, "
1246,"113.8301, "
1247,"116.1503, "
1248,"114.6490, "
1249,"110.5419, "
1250,"110.2576, "
1251,"103.1921, "
1252,"93.8105, "
1253,"93.3597, "
1254,"103.5801, "
1255,"100.7630, "
1256,"93.9912, "
1257,"95.5355, "
1258,"107.8976, "
1259,"117.8209, "
1260,"103.9032, "
1261,"97.9470, "
1262,"110.1181, "
1263,"108.6340, "
1264,"100.2806, "
1265,"87.2245, "
1266,"115.1313, "
1267,"118.2897, "
1268,"109.5232, "
1269,"84.5160, "
1270,"102.9704, "
1271,"115.6470, "
1272,"103.4131, "
1273,"105.1913, "
1274,"104.5166, "
1275,"92.4988, "
1276,"123.3190, "
1277,"117.4283, "
1278,"117.8654, "
1279,"104.9812, "
1280,"103.5181, "
1281,"110.3810, "
1282,"91.5704, "
1283,"101.0404, "
1284,"117.9052, "
1285,"105.0084, "
1286,"115.0202, "
1287,"100.6417, "
1288,"100.0312, "
1289,"117.0810, "
1290,"122.3013, "
1291,"85.8626, "
1292,"121.5890, "
1293,"108.1201, "
1294,"119.8235, "
1295,"98.1457, "
1296,"113.8738, "
1297,"119.1539, "
1298,"101.9510, "
1299,"128.5956, "
1300,"102.6872, "
1301,"109.3417, "
1302,"98.3935, "
1303,"116.6965, "
1304,"102.3967, "
1305,"121.4785, "
1306,"97.6514, "
1307,"109.6171, "
1308,"117.4143, "
1309,"99.2516, "
1310,"127.2669, "
1311,"109.3376, "
1312,"94.0284, "
1313,"122.4350, "
1314,"113.5667, "
1315,"110.7682, "
1316,"112.8935, "
1317,"125.8775, "
1318,"117.4463, "
1319,"108.3426, "
1320,"104.1403, "
1321,"119.8156, "
1322,"102.4322, "
1323,"100.0090, "
1324,"89.2391, "
1325,"110.9176, "
1326,"117.4139, "
1327,"104.1341, "
1328,"109.7568, "
1329,"105.1906, "
1330,"111.9908, "
1331,"130.9920, "
1332,"101.8326, "
1333,"115.4057, "
1334,"97.5168, "
1335,"121.3213, "
1336,"104.9473, "
1337,"114.9249, "
1338,"117.5145, "
1339,"84.3464, "
1340,"116.0294, "
1341,"111.1396, "
1342,"120.3342, "
1343,"99.7702, "
1344,"96.1039, "
1345,"106.8257, "
1346,"109.9858, "
1347,"110.9055, "
1348,"95.2543, "
1349,"99.0487, "
1350,"113.4553, "
1351,"110.9883, "
1352,"108.5615, "
1353,"107.6307, "
1354,"96.4708, "
1355,"106.7244, "
1356,"101.4524, "
1357,"96.3528, "
1358,"113.9438, "
1359,"121.7513, "
